competencia;ciudad;conteo
Popayán 2024;Popayán, Cauca;50
Ritmo Boyacá Innovo Duitama 2024;Duitama, Boyacá.;48
Medellin Explora 2024;Medellín, Antioquia;31
NxN Cali 2024;Cali, Valle del Cauca;31
Centro Mayor 2024;Bogotá D.C.;29
Avenida Chile VII 2024;Bogotá;27
Cali Vuelve 2024;Cali, Valle del Cauca;23
Unicentro Pereira 2024;Pereira;22
Cubomanía Monteria 2024;Monteria, Cordoba;21
Popayán al Cubo 2024;Popayán, Cauca;19
Ibagué Mercacentro 10 2024;Ibagué, Tolima;18
Yopal Open 2024;Yopal, Casanare;18
50 Años Cubeando Aves María 2024;Sabaneta, Antioquia;18
Unicentro Cúcuta 2024;Cúcuta, Norte de Santander;18
Please Be Solved Aventura 2024;Medellín, Antioquia;18
Único Pasto 2024;Pasto, Nariño;15
Arauquita Cubing 2024;Arauquita, Arauca. ;15
Micentro Funza 2024;Funza, Cundinamarca;14
Villa del Rio al Cubo Bogotá 2024;Bogotá;14
Vibra Social Girardot Cundinamarca 2024;Girardot, Cundinamarca;13
Aves María Nuevos Campeones 2024;Sabaneta, Antioquia.;13
Oasis de Castilla 2024;Bogotá;13
Avenida Chile IX 2024;Bogotá;13
15 Años San Silvestre 2024;Barrancabermeja;12
Terraza360 2024;Floridablanca, Santander;12
Avenida Chile XIV 2024;Bogotá;12
Tunal Bogotá 2024;Bogotá D.C.;12
APA Cube Bogota 2024;Bogotá;12
Monterrey Bogotá VI 2024;Bogotá, Cundinamarca;11
Innova Schools Bogotá 2024;Bogotá;11
Nada Que Ver Bucaramanga 2024;Bucaramanga, Santander;11
Trebolis El Porvenir Bogotá 2024;Bogotá;11
Festival Cubero Bogotá 2024;Bogotá D.C.;10
Colombian Nationals Avenida Chile 2024;Bogotá;10
Madrid Cundinamarca V 2024;Madrid, Cundinamarca;10
Acrópolis Bucaramanga 2024;Bucaramanga;10
Camino al SAC Aves María 2024;Sabaneta, Antioquia;9
Regreso a Clases Cundinamarca 2024;Madrid, Cundinamarca;9
Acrópolis Bucaramanga II 2024;Bucaramanga;9
Centro Comercial Panamá Bogotá 2024;Bogotá;8
River Cubing Barranquilla 2024;Barranquilla, Atlantico;8
Unicentro Armenia 2024;Armenia, Quindío;8
Speedcubing Yumbo 2024;Yumbo, Valle del Cauca;8
Avenida Chile XVI 2024;Bogotá;8
Salamandra Cartagena 2024;Cartagena, Bolivar;8
Avenida Chile XVIII 2024;Bogotá;8
Motavita Boyacá 2024;Motavita, Boyacá;8
Delacuesta Returns 2024;Piedecuesta, Santander;8
Santa Coloma Bogotá 2024;Bogotá;8
Desafío Rubik's 50 Años Bogotá 2024;Bogotá;7
