wca_id;nombre;avg
2021RODR03;Isabela Quesada Rodríguez;970
2019BUIT01;Victoria Alejandra Zambrano Buitrago;1060
2017SILV16;Juliana Gonzalez Silva;1171
2024GARC31;Laura Esthefany Ramírez García;1257
2022NARV03;Paula Sofía Chamat Narváez;1438
2012GAIT01;Luna Gaitán;1455
2022TIBA01;Sara Lucia Florez Tibacan;1698
2022ORTI06;Mariana Henao Ortiz;1712
2024ARTU01;Isabella Artunduaga;1763
2017MUNO06;Valentina Sánchez Muñoz;1778
2023RODR94;Lizeth Stefania Herrera Rodriguez;1836
2014SALA18;Carolina Salazar;1876
2023SANG01;Luna Sofía Bernal Sanguino;1953
2016VINA02;Daniela Henao Vinasco;1975
2022ARCE01;María José Soler Arce;2054
2017LOPE31;Catalina Herrera López;2071
2023LOND03;Valeria Coppola Londoño;2107
2024TORR17;Mariana Jimenez Torres;2139
2024BEDO01;Salma Soto Bedoya;2154
2022MEND24;Natalia Mendoza;2217
2013ZABA02;Ginneidy Camila León Zabala;2302
2023PINZ04;Leydi Bibiana Maldonado Pinzón;2340
2021MEJI01;Sofía Lopera Mejia;2412
2023MOLA01;Leidy Tatiana Godoy Molano;2415
2023ARCI04;Sophya Sarmiento Arciniegas;2521
2014MART32;Maria Alejandra Torres Martinez;2681
2023SUAR09;Dayanna Isabela Pedraza Suarez;2699
2024YEPE01;Mariana Rodríguez Yepes;2716
2024MEJI02;Maria Alejandra Arana Mejía;2719
2024BEDO03;Sofía Pizarro Bedoya;2728
2022TOVA02;Manuela Santander Tovar;2732
2024OSOR08;Dayanna Sophie Sandoval Osorio;3078
2024LOND06;Sara Benjumea Londoño;3138
2024PANT03;Gabriela Balanta Pantoja;3150
2024PINT20;Marian Valeria Sosa Pinto;3186
2024RODR57;María Fernanda Cala Rodríguez;3219
2023RODR79;Maria Alejandra Suarez Rodríguez;3325
2019GONZ22;Alisson Gonzalez;3338
2023QUEZ03;Camila Rojas Quezada;3340
2023DIAZ51;Sara Castaño Díaz;3358
2024CARR17;Mariana Smith Ariza Carrillo;3396
2023REST03;Manuela Jaramillo Restrepo;3405
2024MART43;Valerie Sofía Martínez;3515
2022SAND31;María Cristina Arciniegas Sandoval;3567
2023MUNO03;Emily Mariann Ferrer Muñoz;3633
2024QUIN09;Daniela Andrea Pérez Quintero;3669
2024ROME07;Isabella Lozano Romero;3686
2019GONZ19;Alejandra Martínez González;3738
2024GONZ53;Laura Sofía Amézquita González;3900
2024LOPE06;Lina Victoria Perez Lopez;3955
