nombre;competencia;conteo
Ricardo Zapata Cruz;Prenacionales Colombia 2024;7
Bernardo Torres;Colombian Nationals Avenida Chile 2024;6
Bernardo Torres;Centro Comercial Panamá Bogotá II 2024;6
Bernardo Torres;Trebolis El Porvenir Bogotá 2024;5
Bernardo Torres;Ibagué 2024;5
Bernardo Torres;Na'Guara Metropolis Lara 2024;5
Ricardo Zapata Cruz;Yumbo Univalle 2024;5
Bernardo Torres;Villapinzón al Cubo Open II 2024;5
Bernardo Torres;Ciudad Crepuscular Lara 2024;4
Ricardo Zapata Cruz;Cali Vuelve 2024;4
Oscar Andelfo Dúran Caicedo;15 Años San Silvestre 2024;4
Bernardo Torres;Vibra Social Girardot Cundinamarca 2024;4
Bernardo Torres;Cubing Millennium Caracas 2024;4
Leonardo Neptalí Alicastro Palma;Panama Nationals 2024;4
Oscar Andelfo Dúran Caicedo;Day for PRs Tachira 2024;4
Bernardo Torres;Sambil Barquisimeto 2024;4
Leandro Fabian Paredes Gomez;Cubing and Books Caracas 2024;4
Louis Rodriguez;Na'Guara Metropolis Lara 2024;4
Rafael Antonio Sanchez;Los Aviadores Aragua 2024;4
Gustavo Adolfo Ortega Gomez;Ben's CubeMakers Asunción 2024;3
Oscar Andelfo Dúran Caicedo;Sambil San Cristobal 2024;3
Bernardo Torres;Galerías Bogotá 2024;3
Bernardo Torres;Nemocón Cundinamarca 2024;3
Rafael Antonio Sanchez;Sambil San Cristobal 2024;3
Felipe Santamaría Ruiz;Skewb Madness Uruguay 2024;3
Louis Rodriguez;Ciudad Crepuscular Lara 2024;3
Victor Salas;Day for PRs Tachira 2024;3
Louis Rodriguez;Cubing and Books Caracas 2024;3
Louis Rodriguez;Sambil Caracas 2024;3
Rafael Antonio Sanchez;Cubing Millennium Caracas 2024;3
Bernardo Torres;Outlet de las Américas Bogotá 2024;3
Louis Rodriguez;Sambil Barquisimeto 2024;3
Sebastián Andrés González Coronel;Los Aviadores Aragua 2024;3
Leandro Fabian Paredes Gomez;Sambil Caracas 2024;3
Bernardo Torres;Micentro Funza 2024;3
Ricardo Zapata Cruz;Único Cali 2024;3
Rafael Alvarez;Cubing Millennium Caracas 2024;2
Cristofer Azuaje;Na'Guara Metropolis Lara 2024;2
Santiago David Paz Gutierrez;Ciudad Crepuscular Lara 2024;2
Rafael Antonio Sanchez;Ciudad Crepuscular Lara 2024;2
Leonardo Neptalí Alicastro Palma;Desafío Rubik's 50 Años Panamá 2024;2
Felipe Santamaría Ruiz;Nacionales Uruguayas 2024;2
Oscar Andelfo Dúran Caicedo;Unicentro Cúcuta 2024;2
Allegra Lozada;Santo Domingo Summer 2024;2
Bernardo Torres;Cubing in Unicentro Maracay 2024;2
Daniel Eduardo Forero Perez;Unicentro Cúcuta 2024;2
Leonardo Neptalí Alicastro Palma;Day for PRs Tachira 2024;2
Santiago Enrique Gomez Figueroa;Sambil San Cristobal 2024;2
Josias David Torres Vera;Unicentro Cúcuta 2024;2
Samuel de Jesus Parra Rojas;Sambil San Cristobal 2024;2
