nombre;oros;platas;bronces;puntos;comps;ppt
Oscar Andelfo Dúran Caicedo;9;3;1;34.0;4;8.5
Bernardo Torres;30;24;11;149.0;18;8.2778
Ricardo Zapata Cruz;5;3;10;31.0;4;7.75
Louis Rodriguez;13;3;2;47.0;7;6.7143
Rafael Antonio Sanchez;8;5;9;43.0;10;4.3
Gustavo Adolfo Ortega Gomez;1;3;2;11.0;3;3.6667
Leandro Fabian Paredes Gomez;1;1;7;12.0;4;3.0
Sebastián Andrés González Coronel;0;2;2;6.0;2;3.0
Victor Salas;1;1;1;6.0;2;3.0
Miguel Vidal;3;1;0;11.0;4;2.75
Cristofer Azuaje;3;5;0;19.0;7;2.7143
Samuel de Jesus Parra Rojas;2;0;2;8.0;3;2.6667
Richard Alejandro Sánchez Andueza;2;1;0;8.0;3;2.6667
Leonardo Neptalí Alicastro Palma;0;10;3;23.0;10;2.3
Allegra Lozada;0;0;2;2.0;1;2.0
Daniel Eduardo Forero Perez;1;1;1;6.0;3;2.0
Oswald Jabid Obando Correa;0;0;2;2.0;1;2.0
Felipe Santamaría Ruiz;3;3;4;19.0;10;1.9
Miguel González;1;2;1;8.0;5;1.6
Santiago David Paz Gutierrez;0;1;2;4.0;3;1.3333
Rafael Alvarez;0;2;2;6.0;5;1.2
José Ángel Luyo Santana;1;0;0;3.0;3;1.0
Rafael Rojas;0;2;1;5.0;5;1.0
Fabián Villavicencio;0;2;3;7.0;8;0.875
Josias David Torres Vera;0;0;2;2.0;3;0.6667
Enrymar Cisneros;1;2;0;7.0;11;0.6364
Carlos Gonzalez;0;0;1;1.0;2;0.5
Victor Wu;0;0;1;1.0;2;0.5
Ángel Leonardo Baez Guillén;0;0;1;1.0;2;0.5
Santiago David Laviera Vera;0;1;0;2.0;4;0.5
Santiago Enrique Gomez Figueroa;0;0;2;2.0;5;0.4
David Simmons;0;0;1;1.0;3;0.3333
Xabier Monsalve;0;0;3;3.0;9;0.3333
Yosvaldo José Maizo;0;1;1;3.0;10;0.3
Benjamín Leonardo Solórzano Guerra;0;0;1;1.0;5;0.2
